"Artist_01","Artist_01_Tags","Artist_02","Artist_02_Tags","Song_Title","Collaboration_Status","Release_Year","Region","MB_Rating_Value","MB_Rating_Votes","Peak_Chart_Position"
"Jay-Z","boom bap, chipmunk soul, east coast hip hop, hardcore hip hop, hip hop, pop","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Umbrella (Seamus Haji club remix)","Failure","2007","US","","",""
"Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Bend Ya Neck","Failure","2013","US","","",""
"Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Bend Ya","Failure","2017","US","","",""
"Imagine Dragons","alternative pop, alternative rock, electropop, indie pop, indietronica, pop","Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Radioactive","Failure","2014","US","","",""
"Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","The Chainsmokers","dance-pop, edm, electro house, electronic, electropop, future bass","Chart Mix: November 2016: All We Know / Starboy / The Greatest / Cool Girl / Blow Your Mind (Mwah) / 24K Magic","Failure","2016","US","","",""
"Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","HUMBLE. (Skrillex remix)","Failure","","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","The London","Failure","2019","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Butterfly Effect","Failure","2019","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Let Me Calm Down","Success","2023","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Green Ranger","Failure","2012","US","","",""
"Future","hip hop, southern hip hop, trap","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Red Leather","Success","2024","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","m y . l i f e","Failure","2021","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Metro Boomin","hip hop, trap","Red Leather","Success","2024","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Party (remix)","Failure","2012","US","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","She Knows / Hymn for the Weekend","Failure","","UK","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Love and War","Failure","2012","US","","",""
"Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Take What You Want","Success","2019","US","","",""
"Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Celebrate","Failure","2019","US","","",""
"Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Krippy Kush (Travis Scott remix)","Failure","2017","US","","",""
"Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","FTCU (SLEEZEMIX)","Failure","","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Let It Fly","Success","2018","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","For Everybody (Remix)","Failure","2017","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Tourist","Failure","2016","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","First Off","Failure","2019","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","SOUTH OF FRANCE (REMIX)","Failure","2024","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Solitaires","Failure","2020","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","WHERE WAS YOU","Failure","2025","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Cinderella","Success","2024","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Lock on Me","Success","","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Hold That Heat","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","CHARGE DEM HOES A FEE","Success","2025","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","NC-17","Failure","2019","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","No Vacancy","Failure","2025","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Dinosaurus","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","outside","Failure","2016","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","née-nah (slowed down)","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","TOPIA TWINS","Success","2023","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","née‐nah (sped up)","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Pussy & Millions","Success","2023","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Legacy","Failure","2019","US","","",""
"Metro Boomin","hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Raindrops (Insane)","Success","2022","US","","",""
"Metro Boomin","hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Only 1 (interlude)","Success","2018","US","","",""
"Metro Boomin","hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Overdue","Success","2018","US","","",""
"Metro Boomin","hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Blue Pill","Failure","2017","US","","",""
"Metro Boomin","hip hop, trap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Lock on Me","Success","2022","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","DELRESTO (ECHOES)","Success","2023","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","echoes","Failure","2023","US","","",""
"SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Love Galore","Success","2017","US","","",""
"SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Open Arms","Success","2023","US","","",""
"SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Power Is Power","Success","2019","US","","",""
"SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","TELEKINESIS","Failure","","US","","",""
"Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Lens","Failure","2017","US","","",""
"Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Carousel","Failure","2019","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Prayers Up","Success","2017","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Don’t Quit","Failure","2017","US","","",""
"Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","SICKO MODE (Steven Montana Edit)","Failure","","US","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","K‐POP","Success","2023","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Krippy Kush (Travis Scott remix)","Failure","2017","Latin America","","",""
"Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","I DID IT","Failure","2021","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Writing on the Wall","Failure","2019","US","","",""
"Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Ball for Me","Success","2018","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","What About Me","Failure","2018","US","","",""
"Future","hip hop, southern hip hop, trap","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Congratulations (Remix)","Failure","2017","US","","",""
"Future","hip hop, southern hip hop, trap","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Die for Me","Success","2019","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","rockstar","Success","2017","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","LEVII’S JEANS","Success","2024","US","","",""
"Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Staring at the Sun","Success","2019","US","","",""
"Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Homemade Dynamite (REMIX)","Failure","2019","US","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Rockstar vs. Mi gente (DJs From Mars x Rudeejay & Da Brozz club Bootleg)","Failure","2018","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Spicy (remix)","Failure","2021","Latin America","","",""
"Ozuna","latin, reggaeton, trap latino","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","rockstar (remix)","Failure","2017","Latin America","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","rockstar (remix)","Failure","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Sunflower (remix)","Failure","2019","US","","",""
"Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Feel","Failure","2015","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Bongos","Success","2023","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","WAP (Asquith 90s techno remix)","Failure","2020","US","","",""
"Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Hot Girl Summer","Failure","2019","US","","",""
"Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Hot Girl Summer - Lil Wicked Hype Intro (Dirty)","Failure","2021","US","","",""
"Future","hip hop, southern hip hop, trap","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Pressurelicious","Success","2022","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Savage Remix","Success","2020","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Savage (remix)","Failure","2020","US","","",""
"Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Freaky Girls","Success","2020","US","","",""
"Marshmello","edm, future bass, hip hop, progressive house, trap edm","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Bad Bitches","Failure","2021","US","","",""
"Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Ozuna","latin, reggaeton, trap latino","SG","Success","2021","US","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Crazy Family","Failure","2021","Latin America","","",""
"BTS","k-pop, pop","Megan Thee Stallion","hip hop, pop rap, southern hip hop, trap","Butter","Failure","2021","Asia","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","MotorSport","Success","2017","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Bartier Cardi","Success","2017","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Wish Wish","Failure","2019","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","I Do","Success","2018","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","No Love (extended version)","Failure","2022","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Never Lose Me","Failure","2024","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","I Like It (Steven Montana edit)","Failure","","US","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","I Like It","Success","2018","Latin America","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","J Balvin","hip hop, latin, latin pop, pop, reggaeton","I Like It","Success","2018","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Shakira","latin, latin pop, pop, pop rock","Puntería","Success","2024","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Ozuna","latin, reggaeton, trap latino","La modelo","Failure","2017","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Ozuna","latin, reggaeton, trap latino","Taki Taki","Success","2018","US","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Ozuna","latin, reggaeton, trap latino","Ahora dice (Real Hasta la Muerte remix)","Failure","","US","","",""
"BLACKPINK","hip hop, k-pop, pop","Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Bet You Wanna","Success","2020","Asia","","",""
"Cardi B","alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Girls (Steve Aoki remix)","Success","2018","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Lollipop (remix)","Failure","2008","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","What’s Wrong With Them","Failure","2011","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Gotta Go Hard","Success","2021","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Rich Sex","Failure","2018","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Roman Reloaded","Success","2012","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Go Hard","Failure","2009","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","I Get Crazy","Failure","2009","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Romans Revenge (remix)","Failure","2011","US","","",""
"Future","hip hop, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Rock Star","Failure","2014","US","","",""
"Future","hip hop, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Nicki Hendrix","Success","2023","US","","",""
"Future","hip hop, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","You da Baddest","Failure","2017","US","","",""
"Future","hip hop, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Transformer","Failure","2018","US","","",""
"Future","hip hop, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Sir","Success","2018","US","","",""
"Future","hip hop, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Press Play","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Krippy Kush","Failure","2017","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Krispy Kush (remix)","Failure","2017","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","No Flag","Failure","2017","US","","",""
"Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Pop Party: 2010–2013: Don’t Stop the Party / Where Them Girls At / Give Me Everything / Won’t Go Quietly / Rock That Body / Sweat / Bounce / Changed the Way You Kiss Me / OMG / Moves Like Jagger / Party Rock Anthem / Yeah 3x","Failure","2014","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Roman’s Revenge","Success","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Roman's Revenge","Failure","2012","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","I Feel Pretty (Roman's Revenge) (alternate version)","Failure","","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Romans Revenge (I Feel Pretty)","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Majesty","Success","2018","US","","",""
