"Artist_01","Artist_01_Tags","Artist_02","Artist_02_Tags","Song_Title","Collaboration_Status","Release_Year","Region","MB_Rating_Value","MB_Rating_Votes","Peak_Chart_Position"
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Zedd","bass house, club, complextro, dance, dance-pop, deep house","Fall Into the Sky","Success","2012","UK","","",""
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Zedd","bass house, club, complextro, dance, dance-pop, deep house","Summer Hit Mix 2017 (continuous mix 2)","Failure","2017","UK","","",""
"Avicii","dance-pop, edm, electro house, electronic, electropop, festival progressive house","Kygo","dance, deep house, downtempo, edm, electronica, house","Forever Yours (Avicii tribute)","Success","2020","Europe","","",""
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Kygo","dance, deep house, downtempo, edm, electronica, house","First Time","Success","2017","UK","","",""
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Kygo","dance, deep house, downtempo, edm, electronica, house","Sign of the Times","Failure","2017","UK","","",""
"Kygo","dance, deep house, downtempo, edm, electronica, house","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Carry On","Failure","2019","Europe","","",""
"Avicii","dance-pop, edm, electro house, electronic, electropop, festival progressive house","Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Time 2 Burn: Be Right There (Flava D remix) / Hype / Give Me Your Love / Put Your Hands Up for Detroit / The Creeps (Get on the Dancefloor) / Right Here, Right Now (Redanka remix) / Changed the Way You Kiss Me / Levels","Failure","2016","Europe","","",""
"Avicii","dance-pop, edm, electro house, electronic, electropop, festival progressive house","Martin Garrix","big room house, dance-pop, edm, electro house, festival progressive house, tropical house","Waiting For Love","Failure","2015","Europe","","",""
"Avicii","dance-pop, edm, electro house, electronic, electropop, festival progressive house","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Lonely Together","Success","2017","Europe","","",""
"Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Amplifire","Failure","","US","","",""
"Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Mind (Ekali & Gravez Remix)","Failure","2016","US","","",""
"Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","To Ü (Clean Bandit remix)","Failure","2015","US","","",""
"Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Take You There (Riff Raff remix)","Failure","2014","US","","",""
"Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Where Are Ü Now (Ember Island remix)","Failure","2016","US","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","200 MPH","Failure","2018","Latin America","","",""
"Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Maren Morris","contemporary country, country, country pop, folk rock","42","Failure","2023","US","","",""
"Diplo","edm, electronic, electronica, festival trap, future bass, hip hop","Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Close to Me","Success","2018","US","","",""
"Martin Garrix","big room house, dance-pop, edm, electro house, festival progressive house, tropical house","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Tremor (Maddix remix) / Fine Day Anthem / Show Me Love","Failure","","Europe","","",""
"Martin Garrix","big room house, dance-pop, edm, electro house, festival progressive house, tropical house","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Heathen Thieves Love Lamborghini's","Failure","","Europe","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","In da Getto (Henry Fong remix)","Success","2021","Latin America","","",""
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Summit","Success","2011","UK","","",""
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","Summit vs. Black Angus","Failure","2012","UK","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Si tu novio te deja sola","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","MOJAITA","Success","2019","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","LA CANCIÓN","Success","2019","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","CUIDAO POR AHÍ","Failure","2019","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","ODIO","Failure","2019","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","QUÉ PRETENDES","Success","2019","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","YO LE LLEGO","Failure","2019","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","J Balvin","hip hop, latin, latin pop, pop, reggaeton","I Like It","Success","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","La Santa Vs Aqui Esta Tu Caldo - DJ Santarosa Wordplay Transition","Failure","","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Vuelve","Success","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","La santa","Failure","2020","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Tú no metes cabra (remix)","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","X ÚLTIMA VEZ","Failure","2022","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Soltera (remix)","Failure","2019","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Como soy","Failure","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Dura (remix)","Failure","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","El combo me llamas 2","Failure","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Soy peor (remix)","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Solita","Failure","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","El amante (remix)","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Diles","Failure","2016","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Te boté (remix)","Failure","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Escápate conmigo (remix)","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Andan por ahí","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Maluma","latin, latin pop, reggaeton, trap latino","1 polvo","Failure","2016","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Karol G","schlager","Ahora me llama","Success","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","BAD CON NICKY","Failure","2020","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Satisfacción","Failure","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","El amante (remix)","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Te boté (remix)","Failure","2018","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Si tú lo dejas","Failure","2017","Latin America","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Andan por ahí","Failure","2017","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Shakira","latin, latin pop, pop, pop rock","Tutu (remix)","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Sal y perrea (remix)","Failure","2021","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Pierde los modales","Success","2016","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Relación (remix)","Failure","2020","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Baila baila baila (remix)","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","J Balvin","hip hop, latin, latin pop, pop, reggaeton","China","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","J Balvin","hip hop, latin, latin pop, pop, reggaeton","TATA (remix)","Failure","2021","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ginza (remix)","Failure","2015","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","Quiero repetir","Failure","2017","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","Pa’ guayarte","Success","2021","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","Una locura","Failure","2020","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","Sígueme los pasos","Failure","2018","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","El cel","Failure","2022","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","China","Failure","2019","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","Baila baila baila (remix)","Failure","2019","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Ozuna","latin, reggaeton, trap latino","X (remix)","Failure","2018","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Maluma","latin, latin pop, reggaeton, trap latino","Gafas negras","Failure","2023","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Maluma","latin, latin pop, reggaeton, trap latino","Qué pena","Failure","2019","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Maluma","latin, latin pop, reggaeton, trap latino","X (remix)","Failure","2018","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Maluma","latin, latin pop, reggaeton, trap latino","PORFA (remix)","Failure","2020","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Maluma","latin, latin pop, reggaeton, trap latino","+57","Failure","","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Maluma","latin, latin pop, reggaeton, trap latino","Con flow mátalo","Failure","2012","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Karol G","schlager","Location","Success","2021","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Karol G","schlager","China","Failure","2019","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Karol G","schlager","Poblado (remix)","Failure","2021","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Karol G","schlager","+57","Failure","","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","X","Success","2018","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Superhéroe","Failure","2017","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","X Equis (DJ Agu Gomez X Julio remix)","Failure","2019","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ay vamos (remix)","Success","2015","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Sólo tú (remix)","Failure","2014","Latin America","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ayer 2","Failure","2017","Latin America","","",""
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","J Balvin","hip hop, latin, latin pop, pop, reggaeton","I Adore You","Failure","2024","UK","","",""
"Ozuna","latin, reggaeton, trap latino","Shakira","latin, latin pop, pop, pop rock","Monotonía","Success","2022","Latin America","","",""
"Ozuna","latin, reggaeton, trap latino","Shakira","latin, latin pop, pop, pop rock","Monotonia","Failure","2022","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Shakira","latin, latin pop, pop, pop rock","Chantaje","Success","2016","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Shakira","latin, latin pop, pop, pop rock","Trap","Failure","2017","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Shakira","latin, latin pop, pop, pop rock","Clandestino","Success","2018","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Shakira","latin, latin pop, pop, pop rock","La bicicleta (remix)","Failure","2016","Latin America","","",""
"Karol G","schlager","Shakira","latin, latin pop, pop, pop rock","TQG","Success","2023","Europe","","",""
"Luis Fonsi","latin, latin pop, pop","Shakira","latin, latin pop, pop, pop rock","El último adiós","Failure","2001","Latin America","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Shakira","latin, latin pop, pop, pop rock","Perro fiel","Success","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Shakira","latin, latin pop, pop, pop rock","Perro fiel/El perdón (medley)","Failure","2019","US","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","No se da cuenta","Failure","2020","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","No quiere enamorarse (remix)","Failure","2016","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","Baila baila (remix)","Failure","2020","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","La rompe corazones","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","China","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","La fórmula","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","El desorden","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","Asesina (remix)","Failure","2018","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","Baila baila baila (remix)","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Karol G","schlager","China","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Luis Fonsi","latin, latin pop, pop","Despacito","Success","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ritmo de la calle","Failure","2001","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Vamos pa'la disco","Failure","2004","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","[untitled]","Failure","2004","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Hasta el amanecer (the remix)","Failure","2016","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Buscarte","Failure","2003","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Tu hombre","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Remix","Failure","2005","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Sábanas blancas","Failure","2001","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","En la cama","Success","2001","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Sentirte","Failure","2003","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Dime cuándo y dónde","Failure","","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Dispuesto","Failure","2019","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","X (remix)","Failure","2018","Latin America","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","Hello","Success","2016","Europe","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","ODISEA","Failure","2021","Europe","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","Caramelo (remix)","Failure","2020","Europe","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","China","Failure","2019","Europe","","",""
"Luis Fonsi","latin, latin pop, pop","Ozuna","latin, reggaeton, trap latino","Imposible","Success","2018","Latin America","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Esto no acaba","Failure","2020","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Cumpleaños","Failure","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Te robaré","Success","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Haciéndolo","Failure","2018","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Te robare","Failure","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Reggaeton en París","Failure","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Millonario (remix)","Failure","2021","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","rockstar (remix)","Failure","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","El amante (remix)","Failure","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Otro trago (remix)","Failure","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","X (remix)","Failure","2018","US","","",""
"Karol G","schlager","Maluma","latin, latin pop, reggaeton, trap latino","Créeme","Success","2018","Europe","","",""
"Karol G","schlager","Maluma","latin, latin pop, reggaeton, trap latino","Tá OK (remix)","Failure","2023","Europe","","",""
"Karol G","schlager","Maluma","latin, latin pop, reggaeton, trap latino","+57","Failure","","Europe","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","No puedo olvidarte","Failure","2019","Latin America","","",""
